timestamp,episode,step,width,height,rule_id,pattern_id,density_percent,mutation_per_mille,alive_count,born_count,died_count,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
0,0,0,8,8,2,4,30,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,255,0,0,255,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,255,255,0,0,0,255,0,0,0,0,0,0
1,0,1,8,8,2,4,30,15,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,255,0,0,0,0,0,0,0,255,0,0,255,0,255,0,0,0,0,255,0,0,255,0,0,0,0,0,0,0,255,0,0,0,0,0,255,255,0,0
2,0,2,8,8,2,4,30,15,16,16,11,0,0,0,0,255,255,0,0,0,0,255,255,0,0,0,0,0,255,0,0,0,0,0,0,255,0,0,0,255,255,0,0,255,0,0,255,0,0,0,255,0,0,255,0,255,0,0,0,0,0,0,255,0,0,0,255,0,0,0,0,0,0,255,0
3,0,3,8,8,2,4,30,15,18,18,16,0,0,255,0,0,0,255,0,0,255,0,0,0,255,0,0,255,0,0,0,0,255,0,0,0,0,0,255,0,0,255,0,0,0,255,0,0,0,255,0,0,255,0,0,0,0,255,0,0,0,255,0,255,255,255,0,0,0,0,255,0,0,0,255
4,0,4,8,8,2,4,30,15,23,23,18,255,255,0,255,255,255,0,255,255,0,255,0,255,0,0,255,0,255,255,0,0,0,0,255,0,255,255,0,255,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0,255,0,0,0,255,255,0,0,0,0,0,255,0,255,0,0,0,0,0,0
5,0,5,8,8,2,4,30,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,255,0,0,0,0,0,255,0,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,0,255,0,0
6,0,6,8,8,2,4,30,15,17,15,8,0,0,0,0,255,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,255,0,255,255,255,255,255,0,255,0,255,0,0,0,255,0,0,0,255,0,0,0,255,255,255,0,0,0
7,0,7,8,8,2,4,30,15,11,10,16,0,0,255,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,0,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0
8,0,8,8,8,2,4,30,15,12,12,11,0,0,0,0,0,0,0,0,0,0,255,0,255,255,0,255,255,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,255,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,255,0,0,0,0,0,255,0,0,255,0,0,0,0
9,0,9,8,8,2,4,30,15,19,19,12,255,255,255,0,0,255,255,255,255,255,0,255,0,0,255,0,0,0,255,0,0,0,255,255,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,0,255,255,0,0,0,0,0
