codepoint	character	status	reason	ids
U+4E09	三	missing	missing	
U+4E20	丠	exact_ids	unresolved components: 北	⿱北一
U+4E34	临	missing	missing	
U+4E35	丵	exact_ids	unresolved components: 𢆉	⿱业𢆉
U+4E3A	为	exact_ids	structural collision: 办	⿻力丷
U+4E3D	丽	missing	missing	
U+4E55	乕	missing	missing	
U+4E56	乖	exact_ids	unresolved components: 北	⿻千北
U+4E58	乘	exact_ids	unresolved components: 北	⿻禾北
U+4E5E	乞	missing	missing	
U+4E6E	乮	exact_ids	unresolved components: 卯	⿱卯乙
U+4E79	乹	missing	missing	
U+4E7E	乾	exact_ids	unresolved components: 乞	⿰車乞
U+4E7F	乿	missing	missing	
U+4E81	亁	missing	missing	
U+4E82	亂	exact_ids	unresolved components: 𤔔	⿰𤔔乚
U+4E87	亇	missing	missing	
U+4E89	争	missing	missing	
U+4E8A	亊	missing	missing	
U+4E93	亓	missing	missing	
U+4E98	亘	missing	missing	
U+4E99	亙	missing	missing	
U+4E9F	亟	missing	missing	
U+4EA3	亣	missing	missing	
U+4EA5	亥	missing	missing	
U+4EA8	亨	missing	missing	
U+4EAB	享	missing	missing	
U+4EAC	京	missing	missing	
U+4EAD	亭	missing	missing	
U+4EAE	亮	missing	missing	
U+4EAF	亯	missing	missing	
U+4EB3	亳	missing	missing	
U+4EB4	亴	missing	missing	
U+4EB5	亵	missing	missing	
U+4EB6	亶	exact_ids	unresolved components: 回	⿱㐭旦
U+4EB7	亷	missing	missing	
U+4EB8	亸	exact_ids	unresolved components: 享,单	⿰享单
U+4EB9	亹	exact_ids	unresolved components: 舋	⿱亠舋
U+4EBE	亾	missing	missing	
U+4ECA	今	exact_ids	unresolved components: ㇇	⿱亼㇇
U+4ECB	介	missing	missing	
U+4EE1	仡	exact_ids	unresolved components: 乞	⿰亻乞
U+4EE2	仢	exact_ids	unresolved components: 勺	⿰亻勺
U+4EE8	仨	exact_ids	unresolved components: 三	⿰亻三
U+4EEE	仮	exact_ids	unresolved components: 反	⿰亻反
U+4EF1	仱	exact_ids	unresolved components: ㇇	⿰亻今
U+4EF7	价	exact_ids	unresolved components: 介	⿰亻介
U+4EFA	仺	missing	missing	
U+4F0A	伊	exact_ids	unresolved components: 尹	⿰亻尹
U+4F0B	伋	exact_ids	unresolved components: ㇏	⿰亻及
U+4F10	伐	exact_ids	unresolved components: 戈	⿰亻戈
U+4F1B	伛	exact_ids	unresolved components: 区	⿰亻区
U+4F1E	伞	missing	missing	
U+4F24	伤	missing	missing	
U+4F28	伨	exact_ids	unresolved components: 匀	⿰亻匀
U+4F2C	伬	exact_ids	unresolved components: ㇏	⿰亻尺
U+4F35	伵	exact_ids	unresolved components: 四	⿰亻四
U+4F37	伷	exact_ids	unresolved components: 由	⿰亻由
U+4F38	伸	exact_ids	unresolved components: 申	⿰亻申
U+4F3A	伺	exact_ids	unresolved components: 司	⿰亻司
U+4F45	佅	exact_ids	structural collision: 体	⿰亻未
U+4F48	佈	exact_ids	unresolved components: 布	⿰亻布
U+4F50	佐	exact_ids	unresolved components: 左	⿰亻左
U+4F53	体	exact_ids	structural collision: 佅	⿰亻本
U+4F5D	佝	exact_ids	unresolved components: 句	⿰亻句
U+4F5E	佞	missing	missing	
U+4F60	你	exact_ids	unresolved components: ⺈	⿰亻尔
U+4F65	佥	missing	missing	
U+4F68	佨	exact_ids	unresolved components: 包	⿰亻包
U+4F69	佩	exact_ids	unresolved components: 凧	⿰亻凧
U+4F6A	佪	exact_ids	unresolved components: 回	⿰亻回
U+4F79	佹	exact_ids	unresolved components: ⺈	⿰亻危
U+4F7F	使	exact_ids	unresolved components: 吏	⿰亻吏
U+4F83	侃	missing	missing	
U+4F85	侅	exact_ids	unresolved components: 亥	⿰亻亥
U+4F8A	侊	exact_ids	unresolved components: ⺌	⿰亻光
U+4F8C	侌	exact_ids	unresolved components: ㇇	⿱今云
U+4F90	侐	exact_ids	unresolved components: 血	⿰亻血
U+4F93	侓	exact_ids	unresolved components: 聿	⿰亻聿
U+4F96	侖	exact_ids	unresolved components: 𠕁	⿱亼𠕁
U+4F97	侗	exact_ids	unresolved components: 同	⿰亻同
U+4F9A	侚	exact_ids	unresolved components: 旬	⿰亻旬
U+4F9F	侟	exact_ids	unresolved components: 存	⿰亻存
U+4FA5	侥	exact_ids	unresolved components: 尧	⿰亻尧
U+4FAD	侭	exact_ids	unresolved components: ㇏	⿰亻尽
U+4FAF	侯	missing	missing	
U+4FB0	侰	exact_ids	unresolved components: 尹	⿰亻君
U+4FB4	侴	missing	missing	
U+4FB6	侶	exact_ids	unresolved components: 呂	⿰亻呂
U+4FB7	侷	exact_ids	unresolved components: 局	⿰亻局
U+4FBA	侺	exact_ids	unresolved components: ㇇	⿰亻岑
U+4FC4	俄	exact_ids	unresolved components: 戈	⿰亻我
U+4FD3	俓	exact_ids	unresolved components: 巠	⿰亻巠
U+4FD9	俙	exact_ids	unresolved components: 布	⿰亻希
U+4FDA	俚	exact_ids	unresolved components: 里	⿰亻里
U+4FDC	俜	exact_ids	unresolved components: 由	⿰亻甹
U+4FEA	俪	exact_ids	unresolved components: 丽	⿰亻丽
U+4FEB	俫	exact_ids	unresolved components: 来	⿰亻来
U+4FED	俭	exact_ids	unresolved components: 佥	⿰亻佥
U+4FEE	修	missing	missing	
U+4FF1	俱	exact_ids	structural collision: 倶	⿰亻具
U+4FF4	俴	exact_ids	unresolved components: 戈	⿰亻戔
U+4FF5	俵	exact_ids	unresolved components: 表	⿰亻表
U+4FFA	俺	exact_ids	unresolved components: 电	⿰亻奄
U+4FFC	俼	exact_ids	unresolved components: 育	⿰亻育
U+5002	倂	exact_ids	unresolved components: 幷	⿰亻幷
U+5005	倅	exact_ids	unresolved components: 卒	⿰亻卒
U+5009	倉	missing	missing	
U+500B	個	exact_ids	unresolved components: 固	⿰亻固
U+500F	倏	missing	missing	
U+5010	倐	missing	missing	
U+5016	倖	exact_ids	unresolved components: 𢆉	⿰亻幸
U+5018	倘	exact_ids	unresolved components: 冋	⿰亻尚
U+5019	候	exact_ids	unresolved components: 侯	⿰亻侯
U+501C	倜	exact_ids	unresolved components: 周	⿰亻周
U+501D	倝	missing	missing	
U+501E	倞	exact_ids	unresolved components: 京	⿰亻京
U+501F	借	exact_ids	unresolved components: 龷	⿰亻昔
U+5022	倢	exact_ids	unresolved components: 疌	⿰亻疌
U+5024	値	exact_ids	structural collision: 值	⿰亻直
U+5029	倩	exact_ids	unresolved components: 円,龶	⿰亻靑
U+502B	倫	exact_ids	unresolved components: 𠕁	⿰亻侖
U+5035	倵	exact_ids	unresolved components: 武	⿰亻武
U+5036	倶	exact_ids	structural collision: 俱	⿰亻具
U+503A	债	exact_ids	unresolved components: 龶	⿰亻责
U+503C	值	exact_ids	structural collision: 値	⿰亻直
U+5043	偃	exact_ids	unresolved components: 匽	⿰亻匽
U+5045	偅	exact_ids	unresolved components: 里	⿰亻重
U+5048	偈	exact_ids	unresolved components: 匃	⿰亻曷
U+504A	偊	exact_ids	unresolved components: 禹	⿰亻禹
U+504D	偍	exact_ids	unresolved components: 𤴓	⿰亻是
U+504F	偏	exact_ids	unresolved components: 𠕁	⿰亻扁
U+505C	停	exact_ids	unresolved components: 亭	⿰亻亭
U+505D	偝	exact_ids	unresolved components: 北	⿰亻背
U+5061	偡	exact_ids	unresolved components: 匹	⿰亻甚
U+5064	偤	exact_ids	unresolved components: 酉	⿰亻酋
U+5065	健	exact_ids	unresolved components: 聿	⿰亻建
U+5069	偩	exact_ids	unresolved components: ⺈	⿰亻負
U+506A	偪	exact_ids	unresolved components: 畐	⿰亻畐
U+506F	偯	exact_ids	unresolved components: 哀	⿰亻哀
U+5071	偱	exact_ids	unresolved components: ⺁	⿰亻盾
U+5078	偸	exact_ids	unresolved components: 兪	⿰亻兪
